gastos,descrip
"K044","Materiales para ampliación, construcción y remodelación"
"K045","Servicios para ampliación, construcción y remodelación"
"L001","Radio y radio despertador"
"L002","Estéreo y modular"
"L003","Grabadora"
"L004","Televisión blanco y negro (incluye portátil)"
"L005","Televisión color (incluye portátil), LCD y plasma"
"L006","Lector de DVD y Blu-Ray (incluye portátil)"
"L007","Computadora"
"L008","Accesorios para computadora (mouse, memorias usb, etc)"
"L009","Decodificador de T.V., control remoto, etcétera"
"L010","Accesorios: bocinas, audífonos, antena aérea, control remoto, etc."
"L011","Videocasetes, cartuchos y discos para videojuegos"
"L012","Reproductor de discos compactos, MP3 y IPod (MP4)"
"L013","Reproductor de discos compactos, DVD para vehículos y autoestéreo"
"L014","Alquiler de televisión, videocaseteras, computadoras, etcétera"
"L015","Otros aparatos: Walkman, etc."
"L016","Reparación y/o mantenimiento de los artículos anteriores"
"L017","Proyectores"
"L018","Cámaras fotográficas y de video"
"L019","Material fotográfico, películas"
"L020","Servicio fotográfico, revelado e impresión"
"L021","Otros artículos y servicios: tripié, alquiler de equipo, proyectores, etc."
"L022","Reparación y mantenimiento de los artículos anteriores"
"L023","Juguetes, juegos de mesa"
"L024","Juegos electrónicos, videojuegos"
"L025","Instrumentos musicales"
"L026","Artículos de deporte y cacería (aparatos para ejercicio, etcétera)"
"L027","Artículos de jardinería: plantas, flores, macetas, tierra, abonos"
"L028","Reparación y/o mantenimiento de los artículos anteriores."
"L029","Compra y cuidado de animales domésticos: patos, perros, etcétera"
"M001","Transporte foráneo"
"M002","Transporte ferroviario"
"M003","Transporte aéreo"
"M004","Servicio de carga y mudanza"
"M005","Cuotas de autopista"
"M006","Otros: lancha, barco, carreta, alquiler de vehículos, etcétera"
"M007","Automóvil y/o guayín"
"M008","Camioneta (pick up)"
"M009","Motoneta, motocicleta"
"M010","Bicicleta"
"M011","Otros: remolque, lancha, triciclo, etcétera"
"M012","Llantas"
"M013","Acumulador"
"M014","Refacciones: bujías, bandas, filtros, etcétera"
"M015","Partes de vehículos: vidrios, salpicaderas, etcétera"
"M016","Accesorios: espejos, manijas, antenas, etcétera"
"M017","Servicios de afinación, alineación y balanceo"
"M018","Otros servicios: ajuste de motor, de frenos, hojalatería, pintura, etcétera"
"N001","Servicios profesionales de abogados, notarios, arquitectos, etcétera (no médicos)"
"N002","Funerales y cementerios"
"N003","Paquetes para fiesta (salón, comida, orquesta)"
"N004","Gastos turísticos: paquetes, hospedajes, alimentos, tours, etcétera"
"N005","Hospedaje o alojamiento sin fines turísticos (con o sin alimentos)"
"N006","Gastos en cargos comunales para festividades locales"
"N007","Contribuciones para obras del servicio público local"
"N008","Seguro de automóvil"
"N009","Seguros contra incendio, daños y riesgos para la vivienda, educación y seguro de vida (no capitalizable)"
"N010","Otros gastos diversos no comprendidos en las categorías anteriores"
"N011","Indemnizaciones pagadas a terceros"
"N012","Pérdidas y robos en dinero (excluya negocios)"
"N013","Ayuda a parientes y personas ajenas al hogar (en dinero)"
"N014","Contribuciones a instituciones benéficas en dinero, iglesias, cruz roja, incluye servicios eclesiásticos"
"N015","Servicios del sector público: expedición de pasaporte, actas, títulos, etcétera"
"N016","Trámites para vehículos: licencias, placas, verificación vehicular, etcétera"
"T901","Alimentos, bebidas y tabaco"
"T902","Transporte (pasajes)"
"T903","Artículos o servicios destinados a la limpieza y cuidados de la casa"
"T904","Artículos o servicios destinados a cuidados personales"
"T905","Artículos o servicios destinados a educación, cultura y recreación"
"T906","Artículos o servicios destinados a la comunicación y servicios para vehículos"
"T907","Artículos o servicios destinados a vivienda y servicios de conservación"
"T908","Último recibo pagado"
"T909","Prendas de vestir, calzado y accesorios"
"T910","Cristalería, blancos y utensilios domésticos"
"T911","Artículos o servicios destinados a cuidados de la salud"
"T912","Enseres domésticos y mantenimiento de la vivienda"
"T913","Artículos de esparcimiento"
"T914","Artículos o servicios destinados al transporte"
"T915","Gastos diversos"
"T916","Erogaciones financieras y de capital"
"Q001","Depósitos en cuentas de ahorro, tandas, cajas de ahorro, etcétera"
"Q002","Préstamos a personas ajenas al hogar"
"Q003","Pagos a tarjeta de crédito bancaria o comercial (incluye intereses)"
"Q004","Pago de deudas a la empresa donde trabajan y/o a otras personas o instituciones (excluya créditos hipotecarios)"
"Q005","Pago de intereses por préstamos recibidos"
"Q006","Compra de monedas nacionales o extranjeras, metales preciosos, alhajas, obras de arte, etcétera"
"Q007","Seguro de vida capitalizable"
"Q008","Herencias, dotes y legados"
"Q009","Compra de casas, condominios, locales o terrenos que no habita el hogar"
"Q010","Compra de terrenos, casas o condominios que habita el hogar"
"Q011","Pago de hipotecas de bienes inmuebles: casas, locales, terrenos, edificios, etcétera"
"Q012","Otras erogaciones no consideradas en las preguntas anteriores"
"Q013","Compra de maquinaria, equipo, animales destinados a la reproducción, utilizados en negocios del hogar"
"Q014","Balance negativo en negocios del hogar agropecuarios y no agropecuarios"
"Q015","Compra de valores: cédulas, acciones y bonos"
"Q016","Compra de marcas, patentes y derechos de autor"
"Q100","Pago de la vivienda propia y que se está pagando"
